movieId,ranking,year
a1B35KWdDBFU,5001,2016
a1B35KWdDBFU,5049,2017
a1B35KWdDBFU,6018,2018
a1B35KWdDBFU,6061,2019
a1B35KWdDBFU,5026,2020
a1B35KWdDBFU,5049,2021
a1B35KWdDBFU,5064,2022
a1B35KWdDBFU,2635,2023
Kz7Q4GBYMP3r,10442,2015
Kz7Q4GBYMP3r,11469,2016
Kz7Q4GBYMP3r,10257,2017
Kz7Q4GBYMP3r,11681,2018
Kz7Q4GBYMP3r,12833,2019
Kz7Q4GBYMP3r,14747,2020
Kz7Q4GBYMP3r,15947,2021
Kz7Q4GBYMP3r,16492,2022
Kz7Q4GBYMP3r,16404,2023
PhDGpM5IkKoD,5943,2020
PhDGpM5IkKoD,6653,2021
PhDGpM5IkKoD,3661,2022
PhDGpM5IkKoD,4171,2023
KYitv9kl7Rj6,11228,2019
KYitv9kl7Rj6,11628,2020
KYitv9kl7Rj6,12393,2021
KYitv9kl7Rj6,12931,2022
KYitv9kl7Rj6,16061,2023
TpjlBz9A4Wxr,6349,2016
TpjlBz9A4Wxr,5716,2017
TpjlBz9A4Wxr,5859,2018
TpjlBz9A4Wxr,6582,2019
TpjlBz9A4Wxr,7705,2020
TpjlBz9A4Wxr,7840,2021
TpjlBz9A4Wxr,8559,2022
TpjlBz9A4Wxr,8780,2023
710LbfvKAdYw,12130,2018
710LbfvKAdYw,13329,2019
710LbfvKAdYw,15050,2020
710LbfvKAdYw,16208,2021
710LbfvKAdYw,16790,2022
710LbfvKAdYw,19392,2023
WJtwUyNsZYWN,5861,2015
WJtwUyNsZYWN,6825,2016
WJtwUyNsZYWN,2794,2017
WJtwUyNsZYWN,2964,2018
WJtwUyNsZYWN,3310,2019
WJtwUyNsZYWN,3753,2020
WJtwUyNsZYWN,3964,2021
WJtwUyNsZYWN,4233,2022
WJtwUyNsZYWN,4179,2023
4Shrjy3KLJ15,10856,2018
4Shrjy3KLJ15,11994,2019
4Shrjy3KLJ15,11750,2020
4Shrjy3KLJ15,8026,2021
4Shrjy3KLJ15,8024,2022
4Shrjy3KLJ15,11056,2023
c2ds9drLgHBy,8083,2015
c2ds9drLgHBy,8916,2016
c2ds9drLgHBy,11161,2017
c2ds9drLgHBy,12375,2018
c2ds9drLgHBy,13603,2019
c2ds9drLgHBy,15275,2020
c2ds9drLgHBy,16318,2021
c2ds9drLgHBy,17012,2022
c2ds9drLgHBy,17005,2023
K1J2emYLqNOq,12126,2020
K1J2emYLqNOq,12980,2021
K1J2emYLqNOq,13544,2022
K1J2emYLqNOq,16384,2023
MS1v4R0ulZbK,9133,2015
MS1v4R0ulZbK,10074,2016
MS1v4R0ulZbK,12587,2017
MS1v4R0ulZbK,13855,2018
MS1v4R0ulZbK,15103,2019
MS1v4R0ulZbK,16327,2020
MS1v4R0ulZbK,17561,2021
MS1v4R0ulZbK,18149,2022
MS1v4R0ulZbK,20501,2023
1TTqQYGf3f2W,7677,2023
GcMXkE3kCayW,6061,2015
GcMXkE3kCayW,5073,2016
GcMXkE3kCayW,5250,2017
GcMXkE3kCayW,6174,2018
GcMXkE3kCayW,6301,2019
GcMXkE3kCayW,4372,2020
GcMXkE3kCayW,4635,2021
GcMXkE3kCayW,4166,2022
GcMXkE3kCayW,6069,2023
2mkUORUtJ33I,14659,2022
2mkUORUtJ33I,17694,2023
ol8h5rQIChqE,10232,2018
ol8h5rQIChqE,11369,2019
ol8h5rQIChqE,13551,2020
ol8h5rQIChqE,14830,2021
ol8h5rQIChqE,15395,2022
ol8h5rQIChqE,18312,2023
MZDBUoaBr8Ny,11179,2016
MZDBUoaBr8Ny,10085,2017
MZDBUoaBr8Ny,11188,2018
MZDBUoaBr8Ny,12351,2019
MZDBUoaBr8Ny,14395,2020
MZDBUoaBr8Ny,15473,2021
MZDBUoaBr8Ny,16172,2022
MZDBUoaBr8Ny,18911,2023
dWkhG426TuZe,6578,2023
o3au3EspTceV,11497,2015
o3au3EspTceV,12465,2016
o3au3EspTceV,12716,2017
o3au3EspTceV,13824,2018
o3au3EspTceV,15073,2019
o3au3EspTceV,16478,2020
o3au3EspTceV,17418,2021
o3au3EspTceV,18287,2022
o3au3EspTceV,20447,2023
1mdoRxvLgQJB,10502,2021
1mdoRxvLgQJB,11250,2022
1mdoRxvLgQJB,13746,2023
MLocBQRcFvBp,9409,2015
MLocBQRcFvBp,10223,2016
MLocBQRcFvBp,12873,2017
MLocBQRcFvBp,14181,2018
MLocBQRcFvBp,15425,2019
MLocBQRcFvBp,16561,2020
MLocBQRcFvBp,17713,2021
MLocBQRcFvBp,18359,2022
MLocBQRcFvBp,20619,2023
7sEOQdhahXso,15019,2022
7sEOQdhahXso,17890,2023
WRb0MeC0TC4S,14681,2020
WRb0MeC0TC4S,16006,2021
WRb0MeC0TC4S,16434,2022
WRb0MeC0TC4S,19241,2023
NSpFIfdrhrwK,10099,2015
NSpFIfdrhrwK,10928,2016
NSpFIfdrhrwK,13650,2017
NSpFIfdrhrwK,14863,2018
NSpFIfdrhrwK,16088,2019
NSpFIfdrhrwK,12860,2020
